rank,venue,status,n_papers,n_2020plus,year_range,cum_share_all,cum_share_2020plus
241,Autism Research,not-listed,1,0,2012–2012,0.952,1.000
242,Unraveling the complexities of social life: A festschrift in honor of Robert B. Zajonc.,not-listed,1,1,2023–2023,0.952,0.930
243,Nature Protocols,listed,1,1,2020–2020,0.952,0.931
244,"Proceedings of the 2018 Conference of the North American Chapter of
          the Association for Computational Linguistics: Student Research
          Workshop",conference,1,1,2024–2024,0.952,0.931
245,Proceedings of the 2022 Conference on Empirical Methods in Natural Language Processing,conference,1,1,2024–2024,0.953,0.932
246,Biological Theory,not-listed,1,0,2015–2015,0.953,1.000
247,Journal of the Medical Library Association,not-listed,1,0,2017–2017,0.953,1.000
248,Motivation Science,not-listed,1,1,2020–2020,0.953,0.934
249,Molecular Psychiatry,not-listed,1,1,2023–2023,0.954,0.935
250,Experimental Aging Research,not-listed,1,0,2018–2018,0.954,1.000
251,Neurocomputing,not-listed,1,0,2017–2017,0.954,1.000
252,2025 IEEE 41st International Conference on Data Engineering Workshops (ICDEW),conference,1,1,2025–2025,0.954,0.937
253,Journal of Experimental Social Psychology,not-listed,1,0,2019–2019,0.955,1.000
254,2019 18th IEEE International Conference On Machine Learning And Applications (ICMLA),not-listed,1,0,2019–2019,0.955,1.000
255,9th International Conference on Artificial Neural Networks: ICANN '99,not-listed,1,0,2000–2000,0.955,1.000
256,Learning &amp; Behavior,not-listed,1,0,2012–2012,0.955,1.000
257,Cognitive Neuropsychiatry,not-listed,1,0,2010–2010,0.956,1.000
258,AAAS Articles DO Group,not-listed,1,0,2019–2019,0.956,1.000
259,SpringerReference,not-listed,1,0,2001–2001,0.956,1.000
260,BMC Proceedings,not-listed,1,1,2020–2020,0.956,0.938
261,arXiv (cs.PL),arxiv-gap,1,0,2012–2012,0.957,1.000
262,"Philosophical Transactions of the Royal Society of London. B, Biological Sciences",not-listed,1,0,2019–2019,0.957,1.000
263,Computers in Biology and Medicine,not-listed,1,1,2024–2024,0.957,0.939
264,Biological Cybernetics,not-listed,1,1,2024–2024,0.957,0.939
265,AI Magazine,not-listed,1,0,2009–2009,0.958,1.000
266,ACM SIGKDD Explorations Newsletter,not-listed,1,0,2018–2018,0.958,1.000
267,2023 IEEE International Conference on Big Data (BigData),not-listed,1,1,2024–2024,0.958,0.942
268,Journal of Neurochemistry,not-listed,1,0,2017–2017,0.958,1.000
269,IBRO Neuroscience Reports,not-listed,1,1,2020–2020,0.959,0.943
270,Journal of Neurosurgery,not-listed,1,0,2017–2017,0.959,1.000
271,Journal of Advertising,not-listed,1,1,2023–2023,0.959,0.944
272,Projections,not-listed,1,0,2008–2008,0.959,1.000
273,Social Neuroscience,not-listed,1,0,2001–2001,0.960,1.000
274,2015 IEEE Conference on Computer Vision and Pattern Recognition (CVPR),conference,1,0,2015–2015,0.960,1.000
275,arXiv (stat.OT),arxiv-gap,1,0,2017–2017,0.960,1.000
276,Frontiers in Aging Neuroscience,not-listed,1,0,2012–2012,0.961,1.000
277,Journal of Child Language,not-listed,1,1,2022–2022,0.961,0.945
278,Behavioral Neuroscience,not-listed,1,0,2017–2017,0.961,1.000
279,KI - Künstliche Intelligenz,not-listed,1,1,2021–2021,0.961,0.945
280,Proceedings of the Royal Society B: Biological Sciences,not-listed,1,1,2023–2023,0.962,0.947
281,Journal of the Optical Society of America A,not-listed,1,0,2003–2003,0.962,1.000
282,The Annals of Mathematical Statistics,not-listed,1,0,2018–2018,0.962,1.000
283,The Clinical Neuropsychologist,not-listed,1,1,2025–2025,0.962,0.948
284,Proceedings of the 47th International ACM SIGIR Conference on Research and Development in Information Retrieval,not-listed,1,1,2026–2026,0.963,0.949
285,The Journal of Chemical Physics,not-listed,1,0,2013–2013,0.963,1.000
286,Computers &amp; Industrial Engineering,not-listed,1,1,2024–2024,0.963,0.950
287,2006 47th Annual IEEE Symposium on Foundations of Computer Science (FOCS'06),not-listed,1,0,2017–2017,0.963,1.000
288,Proceedings of the 35th Annual ACM Symposium on User Interface Software and Technology,not-listed,1,1,2023–2023,0.964,0.951
289,Journal of Experimental Psychology,not-listed,1,0,2012–2012,0.964,1.000
290,BioMed Research International,not-listed,1,0,2015–2015,0.964,1.000
291,npj Quantum Materials,not-listed,1,0,2016–2016,0.964,1.000
292,Social Cognition,not-listed,1,0,2002–2002,0.965,1.000
293,arXiv (math.HO),arxiv-gap,1,1,2026–2026,0.965,0.953
294,Procedings of the British Machine Vision Conference 2016,not-listed,1,0,2019–2019,0.965,1.000
295,Physiology,not-listed,1,0,2012–2012,0.965,1.000
296,APL Materials,not-listed,1,1,2022–2022,0.966,0.955
297,Aphasiology,not-listed,1,0,2011–2011,0.966,1.000
298,PeerJ Computer Science,not-listed,1,0,2019–2019,0.966,1.000
299,Behavioural Brain Research,not-listed,1,0,2013–2013,0.966,1.000
300,Proceedings of the 24th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining,not-listed,1,0,2019–2019,0.967,1.000
301,Behavioural Processes,not-listed,1,0,2012–2012,0.967,1.000
302,Documenta Mathematica Series,not-listed,1,0,2012–2012,0.967,1.000
